id_discente,sexo,semestre_letivo,media_final,numero_faltas,cod_disciplina,disciplina,ch_total,descricao
"258,897",M,20152,9.2,4,"7,215",ELETRICE CIRCUITOS PARA COMPUTAÇÃO,90,APROVADO
"185,750",M,20132,5.7,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"109,445",F,20081,8.2,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"188,000",M,20142,5.2,0,"2,690",INTRODUCAO A MICROELETRONICA,60,APROVADO
"249,750",F,20132,4.1,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"150,789",M,20161,8.4,0,"18,965",GERÊNCIA DE PROJETOS,60,APROVADO
"171,286",M,20141,5.75,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"116,164",M,20092,null,0,"1,661",CIRCUITOS LOGICOS,90,TRANCADO
"171,447",M,20131,7,0,"7,036",CALCULO DIF  E INTEGRAL III,60,APROVADO
"187,311",M,20151,1.5,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"129,443",M,20101,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"189,952",M,20162,null,null,"6,065",EDIÇÃO DE VÍDEO I,60,TRANCADO
"154,743",F,20151,8.6,0,"3,809",ENGENHARIA DE SOFTWARE,60,APROVADO
"150,377",M,20122,0,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REP. FALTA
"264,784",M,20152,3.9,10,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,REPROVADO
"109,122",M,20082,0,0,"3,516",COMPUTADORES E SOCIEDADE,30,REP. FALTA
"254,248",M,20151,null,0,"1,661",CIRCUITOS LOGICOS,90,TRANCADO
"111,852",M,20101,1.1,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,REPROVADO
"154,490",F,20121,1,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REPROVADO
"291,243",F,20162,7.8,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,DISPENSADO
"175,041",M,20132,0,0,"7,036",CALCULO DIF  E INTEGRAL III,60,REP. FALTA
"148,671",M,20122,3.6,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"119,837",M,20111,7.3,0,"2,694",INTRODUCAO AO PROC DIGITAL DE IMAGENS,60,APROVADO
"150,189",M,20131,5.4,0,"2,697",LINGUAGENS FORMAIS E AUTOMATOS,60,APROVADO
"150,377",M,20132,null,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,EXCLUIDA
"119,207",M,20102,7.44,0,"2,694",INTRODUCAO AO PROC DIGITAL DE IMAGENS,60,APROVADO
"174,199",M,20121,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"269,620",M,20151,7.5,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,APROVADO
"291,229",M,20162,10,0,"1,665",ESTRUTURA DE DADOS,60,DISPENSADO
"191,428",M,20132,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"187,060",M,20151,8.5,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"119,207",M,20122,8.1,0,"3,851",TOPICOS ESPEC EM COMPUTACAO,60,APROVADO
"192,084",M,20162,null,0,995,SISTEMA DE INFORMACAO E DECISAO,60,MATRICULADO
"174,199",M,20142,3.4,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"279,280",F,20161,0,8,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"188,000",M,20152,null,null,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,INDEFERIDO
"264,781",M,20161,0.2,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"108,500",M,20072,8,0,"3,830",LOGICA APLC A COMPUTACAO,60,APROVADO
"119,212",M,20091,1,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"282,334",F,20161,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"155,295",F,20132,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"260,648",M,20162,null,null,"3,828",LINGUAGEM PROGRAMACAO I,60,INDEFERIDO
"286,328",M,20162,null,0,"4,250",CALCULO VET GEO ANALITICA,60,MATRICULADO
"107,368",M,20092,8.8,0,"1,652",MODELOS PROBALISTICOS PCOMPUTACAO,90,APROVADO
"119,542",M,20092,8.1,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,APROVADO
"285,781",M,20162,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,MATRICULADO
"128,991",M,20152,9,0,"2,724",TRABALHO DE CONCLUSAO DE CURSO,30,APROVADO
"291,243",F,20162,8.2,0,"7,036",CALCULO DIF  E INTEGRAL III,60,DISPENSADO
"273,979",M,20162,null,null,"21,871",ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I,60,MATRICULADO
